('Namespace(act_dropout=0.1, adaptdl=False, adascale=True, attn_dropout=0.0, '
 "batch_size=800, beam_size=4, betas=[0.9, 0.98], data_dir='data/iwslt-2014', "
 'dec_embed_dim=512, dec_ffn_dim=1024, dec_layernorm_before=False, '
 'dec_num_heads=4, dec_num_layers=6, dec_tied_weight=True, '
 "decay_method='inverse_sqrt', decode_method='beam', dropout=0.3, "
 'embed_dropout=0.3, enc_embed_dim=512, enc_ffn_dim=1024, '
 'enc_layernorm_before=False, enc_num_heads=4, enc_num_layers=6, '
 'eval_batch_size=20, fp16=False, gpu=0, gradient_accumulation=2, '
 "init_checkpoint=None, label_smoothing=0.1, lang_src='en', lang_tgt='de', "
 'learning_rate=0.0005, length_normalize=True, lowercase=False, '
 'max_decode_length_base=10, max_decode_length_multiplier=2, max_epochs=60, '
 "max_tokens=4096, min_lr=1e-09, mode='train', optim='adamw', "
 "output_path=None, save_epochs=1, save_path='models/en-de', scale=32, "
 'warmup_steps=10000, weight_decay=0.0001)')
[*] AdaScale is enabled!
======================================================================
Epoch 1 ::: Train

[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.585, time: 8.1s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.546, ppl: 747.404, time: 8.3s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.546, ppl: 747.420, time: 8.5s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.545, ppl: 747.155, time: 8.6s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.545, ppl: 747.010, time: 8.8s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.605, time: 9.0s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.546, ppl: 747.451, time: 9.1s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.494, time: 9.3s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.545, ppl: 747.182, time: 9.4s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.546, ppl: 747.281, time: 9.6s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.546, ppl: 747.409, time: 9.8s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.538, time: 9.9s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.788, time: 10.1s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.747, time: 10.3s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.784, time: 10.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.762, time: 10.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.729, time: 10.8s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.782, time: 11.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.735, time: 11.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.680, time: 11.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.547, ppl: 747.812, time: 11.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.547, ppl: 747.835, time: 11.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.090, time: 11.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.707, time: 12.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.701, time: 12.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.687, time: 12.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.647, time: 12.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.765, time: 12.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.547, ppl: 747.955, time: 12.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.069, time: 13.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.547, ppl: 748.002, time: 13.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.127, time: 13.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.153, time: 13.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.329, time: 13.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.208, time: 13.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.360, time: 14.1s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.360, time: 14.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.424, time: 14.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.392, time: 14.5s
